Zip	City	State	Latitude	Longitude
60045	Lake Forest	IL	42.238087	-87.86093
61462	Monmouth	IL	40.918849	-90.64466
62017	Coffeen	IL	39.081889	-89.37787
61441	Ipava	IL	40.337555	-90.30458
62242	Evansville	IL	38.092615	-89.93485
61279	Reynolds	IL	41.31653	-90.70671
61017	Coleta	IL	41.902977	-89.804293
61241	Colona	IL	41.483484	-90.34046
61270	Morrison	IL	41.819003	-89.96623
61354	Peru	IL	41.330789	-89.1299
62846	Ina	IL	38.149474	-88.89634
62870	Odin	IL	38.614141	-89.04738
60088	Great Lakes	IL	42.312372	-87.85284
62079	Piasa	IL	39.115848	-90.13336
62233	Chester	IL	37.921816	-89.82842
62468	Toledo	IL	39.273828	-88.25646
62975	Pomona	IL	37.618822	-89.3617
61883	Westville	IL	40.040115	-87.63685
62411	Altamont	IL	39.062913	-88.73912
60927	Clifton	IL	40.937573	-87.94105
62231	Carlyle	IL	38.623384	-89.36368
60644	Chicago	IL	41.881331	-87.75671
61311	Ancona	IL	41.042878	-88.86268
62050	Hillview	IL	39.430595	-90.54502
61940	Metcalf	IL	39.805101	-87.81014
60044	Lake Bluff	IL	42.286222	-87.86309
61601	Peoria	IL	40.693137	-89.589847
62896	West Frankfort	IL	37.894496	-88.93037
60118	Dundee	IL	42.101502	-88.28891
62918	Carterville	IL	37.766029	-89.08355
60568	Aurora	IL	41.935616	-88.43238
60553	Steward	IL	41.830628	-89.01704
62894	Waltonville	IL	38.212746	-89.03866
62842	Geff	IL	38.460323	-88.37124
62208	Fairview Heights	IL	38.596199	-90.00227
60115	Dekalb	IL	41.924127	-88.74617
60143	Itasca	IL	41.972328	-88.02196
60134	Geneva	IL	41.885728	-88.31957
60012	Crystal Lake	IL	42.265643	-88.31664
61330	La Moille	IL	41.53364	-89.27691
61470	Prairie City	IL	40.614899	-90.47345
60478	Country Club Hills	IL	41.561134	-87.72398
61529	Elmwood	IL	40.780415	-89.95565
62514	Boody	IL	39.759905	-89.05465
60330	River Forest	IL	41.882081	-87.821359
62060	Madison	IL	38.6807	-90.15411
61852	Longview	IL	39.901988	-88.07537
62726	Springfield	IL	39.749457	-89.606017
62878	Rinard	IL	38.578119	-88.49714
62366	Pleasant Hill	IL	39.450931	-90.87779
60668	Chicago	IL	41.811929	-87.68732
61106	Rockford	IL	42.325364	-89.170527
61563	Saint David	IL	40.489747	-90.05501
61848	Henning	IL	40.306282	-87.70192
62370	Rockport	IL	39.510835	-90.99193
62736	Springfield	IL	39.749457	-89.606017
62855	Lancaster	IL	38.403424	-87.818672
62691	Virginia	IL	39.952909	-90.21218
62811	Bellmont	IL	38.384799	-87.90949
62974	Pittsburg	IL	37.780592	-88.82344
61275	Port Byron	IL	41.599642	-90.31978
61276	Preemption	IL	41.30589	-90.5979
62033	Gillespie	IL	39.127717	-89.8288
61554	Pekin	IL	40.567088	-89.63382
60137	Glen Ellyn	IL	41.869779	-88.06285
60646	Chicago	IL	41.995331	-87.7601
60654	Chicago	IL	41.888627	-87.63538
61802	Urbana	IL	40.121648	-88.17649
62031	Fieldon	IL	39.103735	-90.54252
61110	Rockford	IL	42.325364	-89.170527
61518	Brimfield	IL	40.744179	-89.718401
62987	Stonefort	IL	37.635792	-88.67912
61488	Wataga	IL	41.030951	-90.29705
62202	East Saint Louis	IL	38.6163	-90.159059
61949	Redmon	IL	39.646359	-87.86014
62354	Nauvoo	IL	40.531825	-91.36598
62961	Millcreek	IL	37.340918	-89.254203
60004	Arlington Heights	IL	42.108428	-87.97723
60538	Montgomery	IL	41.721886	-88.32972
61336	Magnolia	IL	41.111077	-89.21207
60443	Matteson	IL	41.503468	-87.73695
62305	Quincy	IL	39.96008	-91.302633
62378	Versailles	IL	39.884796	-90.6289
62665	Meredosia	IL	39.818631	-90.55791
61854	Mansfield	IL	40.213607	-88.5296
60016	Des Plaines	IL	42.047178	-87.89058
60545	Plano	IL	41.665654	-88.53697
61075	Scales Mound	IL	42.473737	-90.25362
62791	Springfield	IL	39.749457	-89.606017
60031	Gurnee	IL	42.375821	-87.93517
62511	Atwater	IL	39.346468	-89.73278
61625	Peoria	IL	40.696287	-89.616648
62224	Mascoutah	IL	38.439983	-89.983521
62358	Niota	IL	40.587769	-91.26301
62865	Mulkeytown	IL	37.963264	-89.06906
60187	Wheaton	IL	41.858279	-88.10904
61543	Liverpool	IL	40.392048	-89.99885
61728	Colfax	IL	40.56944	-88.62727
62887	Springerton	IL	38.185822	-88.36923
62970	Olmsted	IL	37.199769	-89.10964
60921	Chatsworth	IL	40.757447	-88.29306
61254	Geneseo	IL	41.464473	-90.15854
61528	Edwards	IL	40.776845	-89.7401
60162	Hillside	IL	41.872997	-87.90101
61525	Dunlap	IL	40.849036	-89.65554
62292	Tilden	IL	38.214035	-89.68346
60048	Libertyville	IL	42.290922	-87.95169
61012	Capron	IL	42.401104	-88.74726
61060	Orangeville	IL	42.475891	-89.63404
61722	Arrowsmith	IL	40.434885	-88.62237
61928	Gays	IL	39.45274	-88.5144
60062	Northbrook	IL	42.124576	-87.84303
61914	Bethany	IL	39.639487	-88.74383
60507	Aurora	IL	41.936977	-88.420178
60521	Hinsdale	IL	41.772915	-87.92996
61237	Buffalo Prairie	IL	41.336752	-90.852226
61490	Woodhull	IL	41.183299	-90.27637
62812	Benton	IL	38.000245	-88.92407
60007	Elk Grove Village	IL	42.005978	-87.99847
62347	Liberty	IL	39.876235	-91.1106
62401	Effingham	IL	39.123807	-88.56
62432	Hidalgo	IL	39.139262	-88.14862
62286	Sparta	IL	38.122112	-89.71168
60452	Oak Forest	IL	41.605633	-87.75356
60041	Ingleside	IL	42.372721	-88.15303
60133	Hanover Park	IL	41.980896	-88.144475
60054	McHenry	IL	42.35344	-88.260692
61655	Peoria	IL	40.744179	-89.718401
62330	Dallas City	IL	40.630407	-91.15278
61258	Hooppole	IL	41.522044	-89.91216
61833	Tilton	IL	40.096186	-87.64569
60116	Carol Stream	IL	41.839679	-88.088716
60919	Cabery	IL	40.987824	-88.23737
61273	Orion	IL	41.357236	-90.38482
61742	Goodfield	IL	40.628105	-89.28004
62932	Elkville	IL	37.907619	-89.23151
62056	Litchfield	IL	39.179875	-89.65721
62218	Bartelso	IL	38.535097	-89.46426
61350	Ottawa	IL	41.35263	-88.84734
60691	Chicago	IL	41.811929	-87.68732
60699	Chicago	IL	41.811929	-87.68732
61559	Princeville	IL	40.935608	-89.76802
60534	Lyons	IL	41.812331	-87.82318
61374	Van Orin	IL	41.543813	-89.35449
61839	De Land	IL	40.139336	-88.62966
62928	Eddyville	IL	37.501552	-88.58141
62850	Johnsonville	IL	38.513119	-88.58911
60473	South Holland	IL	41.597472	-87.59909
62273	Pierron	IL	38.780229	-89.5973
61058	Nelson	IL	41.797256	-89.599529
61231	Aledo	IL	41.202461	-90.73137
61741	Forrest	IL	40.756972	-88.40479
60067	Palatine	IL	42.10979	-88.04917
61054	Mount Morris	IL	42.046139	-89.44025
61335	McNabb	IL	41.168946	-89.2205
62061	Marine	IL	38.78956	-89.77538
62259	Menard	IL	38.013132	-89.899569
62479	Wheeler	IL	39.038732	-88.31569
62625	Cantrall	IL	39.909732	-89.68831
61278	Rapids City	IL	41.585883	-90.343228
62639	Frederick	IL	40.04195	-90.46831
62816	Bonnie	IL	38.192726	-88.93138
62909	Boles	IL	37.44725	-88.876792
60090	Wheeling	IL	42.131526	-87.92958
60805	Evergreen Park	IL	41.719933	-87.70249
61108	Rockford	IL	42.254087	-89.01776
62344	Huntsville	IL	40.18275	-90.81819
62515	Buffalo	IL	39.861289	-89.37836
60432	Joliet	IL	41.533631	-88.05592
61250	Erie	IL	41.657803	-90.08613
61085	Stockton	IL	42.350108	-90.02362
61319	Cornell	IL	41.011259	-88.74854
61820	Champaign	IL	40.114931	-88.24322
62615	Auburn	IL	39.588902	-89.75177
61753	Lexington	IL	40.63872	-88.7923
62043	Brushy Mound	IL	39.213822	-89.82872
61924	Chrisman	IL	39.786334	-87.66325
62705	Springfield	IL	39.749457	-89.606017
60196	Schaumburg	IL	42.056376	-88.072522
61370	Tonica	IL	41.21076	-89.03886
60956	Papineau	IL	40.966993	-87.716074
62243	Freeburg	IL	38.425949	-89.90389
60030	Grayslake	IL	42.338955	-88.03433
61748	Hudson	IL	40.627948	-88.97711
61853	Mahomet	IL	40.205916	-88.40295
62025	Edwardsville	IL	38.819297	-89.9551
60558	Western Springs	IL	41.805531	-87.90103
62447	Neoga	IL	39.32205	-88.45037
60926	Claytonville	IL	40.572516	-87.81825
62640	Girard	IL	39.436584	-89.8028
60075	Russell	IL	42.322814	-87.610053
60019	Des Plaines	IL	42.024278	-87.907066
60051	Mchenry	IL	42.324761	-88.452481
62921	Colp	IL	37.804876	-89.08118
61115	Machesney Park	IL	42.352539	-89.04186
61344	Mineral	IL	41.394429	-89.84111
61819	Bryant	IL	40.466273	-90.095368
62938	Golconda	IL	37.374723	-88.52571
62947	Herod	IL	37.567779	-88.39925
61042	Harmon	IL	41.69339	-89.56986
62942	Grand Tower	IL	37.629601	-89.48077
61101	Rockford	IL	42.292221	-89.12574
60475	Steger	IL	41.470084	-87.63369
62626	Carlinville	IL	39.280289	-89.8757
60017	Des Plaines	IL	42.028779	-87.894366
62886	Sims	IL	38.374398	-88.53537
60451	New Lenox	IL	41.509231	-87.96475
60938	Gilman	IL	40.767194	-87.98929
62829	Dale	IL	37.999757	-88.50469
62448	Newton	IL	38.974018	-88.17881
61038	Garden Prairie	IL	42.255617	-88.74344
60155	Broadview	IL	41.857931	-87.85477
60516	Downers Grove	IL	41.761463	-88.01334
62092	White Hall	IL	39.433041	-90.40655
60519	Eola	IL	41.778379	-88.24268
62441	Marshall	IL	39.396463	-87.69589
61310	Amboy	IL	41.707588	-89.34371
62621	Bluffs	IL	39.740558	-90.53937
62014	Bunker Hill	IL	39.039382	-89.94935
61414	Altona	IL	41.117342	-90.16063
61841	Fairmount	IL	40.039632	-87.83052
62543	Latham	IL	39.965691	-89.15936
60407	Braceville	IL	41.230524	-88.25503
61260	Joy	IL	41.228561	-90.87565
60915	Bradley	IL	41.144256	-87.86239
60499	Bedford Park	IL	41.811929	-87.68732
62018	Cottage Hills	IL	38.905998	-90.08306
62547	Mount Auburn	IL	39.771541	-89.24331
60518	Earlville	IL	41.599139	-88.91932
62439	Lawrenceville	IL	38.738226	-87.65984
62551	Niantic	IL	39.838505	-89.15191
61348	Oglesby	IL	41.292401	-89.05943
62544	Macon	IL	39.693983	-88.98068
60457	Hickory Hills	IL	41.723782	-87.82825
62301	Quincy	IL	39.929597	-91.37415
62417	Bridgeport	IL	38.720425	-87.76815
60179	Hoffman Estates	IL	42.079336	-88.223655
61010	Byron	IL	42.131245	-89.26637
62478	West York	IL	39.175832	-87.72312
62939	Goreville	IL	37.558235	-88.96661
61775	Strawn	IL	40.653799	-88.39026
60085	Waukegan	IL	42.361271	-87.86187
60110	Carpentersville	IL	42.121188	-88.27227
60147	Lafox	IL	41.936977	-88.420178
62794	Springfield	IL	39.749457	-89.606017
62847	Iola	IL	38.757302	-88.473594
60442	Manhattan	IL	41.407474	-87.96883
61324	Eldena	IL	41.770952	-89.41267
62034	Glen Carbon	IL	38.75592	-89.97442
62266	New Memphis	IL	38.478	-89.67869
60683	Chicago	IL	41.811929	-87.68732
62010	Bethalto	IL	38.912297	-90.043
62419	Calhoun	IL	38.625864	-87.99407
62080	Ramsey	IL	39.136284	-89.10348
61435	Gerlaw	IL	40.972589	-90.54835
61480	Stronghurst	IL	40.727428	-90.91347
61770	Saybrook	IL	40.430727	-88.52548
62601	Alexander	IL	39.754308	-90.02786
60099	Zion	IL	42.451371	-87.84862
61206	Rock Island	IL	41.554901	-90.615975
62067	Moro	IL	38.91973	-90.01241
62757	Springfield	IL	39.749457	-89.606017
61751	Lawndale	IL	40.21927	-89.285172
62258	Mascoutah	IL	38.481674	-89.79432
60126	Elmhurst	IL	41.89103	-87.94181
62571	Tower Hill	IL	39.385344	-88.95588
62781	Springfield	IL	39.749457	-89.606017
61615	Peoria	IL	40.764368	-89.6448
61818	Cerro Gordo	IL	39.889596	-88.72633
61327	Hennepin	IL	41.252101	-89.32451
62560	Raymond	IL	39.312686	-89.59541
62650	Jacksonville	IL	39.730234	-90.22941
61485	Victoria	IL	41.025484	-90.08422
62616	Philadelphia	IL	39.852164	-90.143114
61520	Canton	IL	40.552853	-90.02794
62520	Dawson	IL	39.824457	-89.45643
62820	Burnt Prairie	IL	38.247883	-88.22944
61238	Cambridge	IL	41.286797	-90.17486
61358	Rutland	IL	40.986256	-89.04364
61865	Potomac	IL	40.306774	-87.80716
62036	Golden Eagle	IL	38.91384	-90.57421
62836	Ewing	IL	38.096551	-88.82763
62766	Springfield	IL	39.749457	-89.606017
62810	Belle Rive	IL	38.218349	-88.73999
60009	Elk Grove Village	IL	41.811929	-87.68732
62357	New Salem	IL	39.696523	-90.84253
60108	Bloomingdale	IL	41.94954	-88.08256
61353	Paw Paw	IL	41.690735	-88.98815
61562	Rome	IL	40.874269	-89.506695
62220	Belleville	IL	38.50046	-89.97654
62983	Royalton	IL	37.884066	-89.11128
61334	Lostant	IL	41.144329	-89.08815
62016	Carrollton	IL	39.301561	-90.41674
62972	Ozark	IL	37.548762	-88.74145
60191	Wood Dale	IL	41.962979	-87.97688
61810	Allerton	IL	39.909736	-87.93384
62476	West Salem	IL	38.527107	-88.00583
62951	Johnston City	IL	37.820724	-88.92647
60161	Melrose Park	IL	41.811929	-87.68732
60616	Chicago	IL	41.8474	-87.63126
62081	Rockbridge	IL	39.261499	-90.23039
60924	Cissna Park	IL	40.565374	-87.88177
61059	Nora	IL	42.455036	-89.94561
62236	Columbia	IL	38.442906	-90.20775
62252	Huey	IL	38.601768	-89.291549
60146	Kirkland	IL	42.100571	-88.87665
60018	Des Plaines	IL	42.008429	-87.89234
61105	Rockford	IL	42.325364	-89.170527
62667	Modesto	IL	39.487357	-89.99143
62548	Mount Pulaski	IL	39.993254	-89.29707
61021	Dixon	IL	41.843702	-89.47636
61720	Anchor	IL	40.553838	-88.5101
62077	Panama	IL	39.031623	-89.5228
62012	Brighton	IL	39.038752	-90.13819
62035	Godfrey	IL	38.947841	-90.2216
62522	Decatur	IL	39.840482	-89.00569
62694	Winchester	IL	39.628929	-90.46107
62998	Wolf Lake	IL	37.508233	-89.43987
60647	Chicago	IL	41.921126	-87.70085
61635	Peoria	IL	40.744179	-89.718401
62460	Saint Francisville	IL	38.596277	-87.65542
62923	Cypress	IL	37.34	-89.03177
62940	Gorham	IL	37.727109	-89.47618
60061	Vernon Hills	IL	42.229856	-87.96779
61726	Chenoa	IL	40.740106	-88.70948
62634	Elkhart	IL	40.02489	-89.46592
61373	Utica	IL	41.37061	-89.0149
60459	Burbank	IL	41.744082	-87.77022
60510	Batavia	IL	41.845228	-88.30995
61472	Rio	IL	41.105401	-90.38717
62695	Woodson	IL	39.627307	-90.22101
60597	Fox Valley	IL	41.839679	-88.088716
61548	Metamora	IL	40.784412	-89.40841
61593	Garrett	IL	39.809913	-88.343237
60468	Peotone	IL	41.331114	-87.79917
60013	Cary	IL	42.217523	-88.24338
60121	Elgin	IL	42.04133	-88.3126
61360	Seneca	IL	41.320345	-88.61017
62866	Nason	IL	38.16542	-88.967551
60076	Skokie	IL	42.03618	-87.7321
62334	Elvaston	IL	40.396983	-91.25029
61232	Andalusia	IL	41.440852	-90.71957
61611	East Peoria	IL	40.683387	-89.54493
60129	Esmond	IL	42.034502	-88.97084
61362	Spring Valley	IL	41.332908	-89.20847
62924	De Soto	IL	37.82526	-89.20301
60957	Paxton	IL	40.448736	-88.11405
60164	Melrose Park	IL	41.91823	-87.89627
60606	Chicago	IL	41.882582	-87.6376
62306	Quincy	IL	39.97863	-91.21256
62438	Lakewood	IL	39.317235	-88.87876
61542	Lewistown	IL	40.39309	-90.13748
62320	Camp Point	IL	40.020397	-91.07407
60160	Melrose Park	IL	41.89988	-87.85978
60623	Chicago	IL	41.850232	-87.718
60501	Summit Argo	IL	41.784832	-87.81
60549	Serena	IL	41.490329	-88.74998
61074	Savanna	IL	42.099635	-90.12858
61466	North Henderson	IL	41.100353	-90.46726
62999	Zeigler	IL	37.8974	-89.05385
61315	Bureau	IL	41.289819	-89.37069
60663	Chicago	IL	41.811929	-87.68732
61911	Arthur	IL	39.704391	-88.45985
62098	Wrights	IL	39.376153	-90.293302
62244	Fults	IL	38.200113	-90.2272
61422	Bushnell	IL	40.550883	-90.51766
61803	Urbana	IL	40.10593	-88.224669
62806	Albion	IL	38.375576	-88.07169
60609	Chicago	IL	41.814283	-87.65282
62463	Stewardson	IL	39.2807	-88.62403
62692	Waverly	IL	39.583983	-89.9396
60966	Sheldon	IL	40.762507	-87.57423
62058	Livingston	IL	38.967324	-89.76133
60029	Golf	IL	42.056529	-87.79286
62024	East Alton	IL	38.868136	-90.08023
61425	Carman	IL	40.778519	-91.05902
62786	Springfield	IL	39.749457	-89.606017
62832	Du Quoin	IL	38.011729	-89.24688
62839	Flora	IL	38.667752	-88.48855
60439	Lemont	IL	41.676028	-87.98258
62819	Buckner	IL	37.980455	-89.01261
60803	Alsip	IL	41.675861	-87.73189
61359	Seatonville	IL	41.363772	-89.26975
61460	Media	IL	40.734056	-90.82654
62874	Orient	IL	37.921795	-88.97892
62237	Coulterville	IL	38.188624	-89.59789
60440	Bolingbrook	IL	41.703097	-88.07462
62223	Belleville	IL	38.55615	-90.05078
62538	Harvel	IL	39.359529	-89.52648
62713	Springfield	IL	39.749457	-89.606017
61356	Princeton	IL	41.372528	-89.44315
62268	Oakdale	IL	38.271313	-89.51773
60930	Danforth	IL	40.823527	-87.9874
62063	Medora	IL	39.188838	-90.14654
62205	East Saint Louis	IL	38.6151	-90.12675
62217	Baldwin	IL	38.178395	-89.84183
61933	Kansas	IL	39.556054	-87.92289
61491	Wyoming	IL	41.068691	-89.76033
61436	Gilson	IL	40.859964	-90.22212
62240	East Carondelet	IL	38.535325	-90.21617
62557	Pana	IL	39.3928	-89.08194
60546	Riverside	IL	41.836131	-87.82163
61545	Lowpoint	IL	40.873236	-89.37082
62226	Belleville	IL	38.53895	-90.00104
62623	Oakford	IL	40.104623	-89.96382
60944	Hopkins Park	IL	41.146464	-87.888971
62690	Virden	IL	39.503383	-89.76667
62994	Vergennes	IL	37.901441	-89.33485
60084	Wauconda	IL	42.263181	-88.14328
60526	La Grange Park	IL	41.829831	-87.8704
60537	Millington	IL	41.56253	-88.59921
62638	Franklin	IL	39.609647	-90.08116
60203	Evanston	IL	42.048879	-87.7175
60190	Winfield	IL	41.875228	-88.15261
62997	Willisville	IL	37.983687	-89.5905
60422	Flossmoor	IL	41.539384	-87.68424
61555	Pekin	IL	40.56071	-89.650232
61759	Minier	IL	40.431577	-89.32013
61816	Broadlands	IL	39.91613	-88.00203
62021	Dorsey	IL	38.976011	-89.97461
62467	Teutopolis	IL	39.125573	-88.45609
61014	Chadwick	IL	41.97068	-89.87508
60660	Chicago	IL	41.990631	-87.6667
62365	Plainville	IL	39.795818	-91.16751
62827	Crossville	IL	38.160972	-88.03291
62895	Wayne City	IL	38.34239	-88.58448
62670	New Berlin	IL	39.735761	-89.88669
61050	McConnell	IL	42.4447	-89.72708
60195	Schaumburg	IL	42.067809	-88.10828
60551	Sheridan	IL	41.527585	-88.68292
61071	Rock Falls	IL	41.759473	-89.69452
62512	Beason	IL	40.139482	-89.2073
62959	Marion	IL	37.724504	-88.92968
62675	Petersburg	IL	40.008726	-89.85029
61776	Towanda	IL	40.574936	-88.88696
60094	Palatine	IL	41.811929	-87.68732
60942	Hoopeston	IL	40.465869	-87.66766
62062	Maryville	IL	38.726548	-89.9572
62338	Fowler	IL	39.98152	-91.25754
61561	Roanoke	IL	40.795911	-89.19419
62824	Clay City	IL	38.689663	-88.35141
61240	Coal Valley	IL	41.439784	-90.428
60123	Elgin	IL	42.034776	-88.32393
61937	Lovington	IL	39.724744	-88.62995
60159	Schaumburg	IL	41.811929	-87.68732
61774	Stanford	IL	40.426186	-89.2107
62876	Radom	IL	38.282464	-89.19356
60412	Chicago Heights	IL	41.811929	-87.68732
61048	Lena	IL	42.381064	-89.83062
61256	Hampton	IL	41.554666	-90.40987
62086	Sorento	IL	38.996375	-89.57044
62284	Smithboro	IL	38.887748	-89.32248
60149	Dement	IL	41.964197	-88.951205
62857	Loogootee	IL	38.911662	-88.87747
62708	Springfield	IL	39.806089	-89.586356
62898	Woodlawn	IL	38.335675	-89.04867
62944	Hamletsburg	IL	37.333591	-88.561428
60913	Bonfield	IL	41.147958	-88.06412
61850	Indianola	IL	39.92804	-87.73629
61465	New Windsor	IL	41.200936	-90.45631
61925	Dalton City	IL	39.719012	-88.82227
61442	Keithsburg	IL	41.092081	-90.92743
62325	Coatsburg	IL	40.034398	-91.16278
62880	Saint Peter	IL	38.875494	-88.89365
61824	Champaign	IL	40.139946	-88.196102
62351	Mendon	IL	40.094396	-91.26558
61070	Rock City	IL	42.407384	-89.46228
61471	Raritan	IL	40.696535	-90.82607
60434	Joliet	IL	41.52543	-88.084208
62454	Robinson	IL	39.004728	-87.7495
60514	Clarendon Hills	IL	41.779533	-87.95798
61415	Avon	IL	40.661165	-90.43908
61826	Champaign	IL	40.113139	-88.361251
60527	Hinsdale	IL	41.839679	-88.088716
61539	Kingston Mines	IL	40.558329	-89.76891
62046	Hamel	IL	38.889879	-89.84638
62088	Staunton	IL	39.011612	-89.78855
62707	Springfield	IL	39.757896	-89.66363
62881	Salem	IL	38.623789	-88.95361
61081	Sterling	IL	41.813776	-89.70537
62671	New Holland	IL	40.186852	-89.56053
61112	Rockford	IL	42.245596	-88.97586
61533	Glasford	IL	40.577778	-89.8297
60109	Burlington	IL	42.052112	-88.54829
61814	Bismarck	IL	40.231345	-87.58163
60541	Newark	IL	41.529433	-88.53552
60945	Iroquois	IL	40.827011	-87.58356
61473	Roseville	IL	40.70595	-90.65724
60548	Sandwich	IL	41.645393	-88.63052
62553	Oconee	IL	39.279357	-89.10462
60941	Herscher	IL	41.05113	-88.08957
62245	Germantown	IL	38.554515	-89.5631
62769	Springfield	IL	39.749457	-89.606017
61769	Saunemin	IL	40.885397	-88.39957
61044	Kent	IL	42.320303	-89.91237
62677	Pleasant Plains	IL	39.847253	-89.88059
62926	Dongola	IL	37.363981	-89.15783
60038	Palatine	IL	42.097976	-88.014072
60572	Aurora	IL	41.839679	-88.088716
61430	East Galesburg	IL	40.94399	-90.31205
61884	White Heath	IL	40.10311	-88.49744
62440	Lerna	IL	39.393267	-88.28118
61584	Vermont	IL	40.288318	-90.429294
61413	Alpha	IL	41.189123	-90.36813
61448	Knoxville	IL	40.910079	-90.27171
60615	Chicago	IL	41.801525	-87.60215
60949	Ludlow	IL	40.375602	-88.11524
62275	Pocahontas	IL	38.812744	-89.54888
60476	Thornton	IL	41.570384	-87.60839
61001	Apple River	IL	42.472458	-90.12098
60920	Campus	IL	41.024846	-88.30797
60072	Ringwood	IL	42.405464	-88.30274
60453	Oak Lawn	IL	41.715082	-87.7546
61277	Prophetstown	IL	41.612038	-89.93036
62861	Maunie	IL	38.032574	-88.04663
61653	Peoria	IL	40.744179	-89.718401
61724	Bellflower	IL	40.336763	-88.52604
62095	Wood River	IL	38.860447	-90.09418
60552	Somonauk	IL	41.645998	-88.69
61519	Bryant	IL	40.466397	-90.09632
60901	Kankakee	IL	41.114132	-87.86784
61262	Lynn Center	IL	41.28595	-90.36117
62941	Grand Chain	IL	37.239385	-88.95184
61628	Peoria	IL	40.744179	-89.718401
61733	Deer Creek	IL	40.615875	-89.32778
61771	Secor	IL	40.738973	-89.13579
62902	Carbondale	IL	37.758646	-89.415831
60621	Chicago	IL	41.776983	-87.6404
62313	Basco	IL	40.319528	-91.20483
62622	Bluff Springs	IL	39.979614	-90.352444
62635	Emden	IL	40.291512	-89.47436
60189	Wheaton	IL	41.839679	-88.088716
60612	Chicago	IL	41.880682	-87.6877
61486	Viola	IL	41.195087	-90.57923
61613	Peoria	IL	40.742537	-89.627948
60675	Chicago	IL	41.811929	-87.68732
62996	Villa Ridge	IL	37.152714	-89.1632
60619	Chicago	IL	41.744834	-87.60444
61125	Rockford	IL	42.325364	-89.170527
61536	Hanna City	IL	40.690205	-89.78042
62363	Pittsfield	IL	39.606349	-90.78642
